
2024/06/06 (15:36:21) | ===> btop++ v.1.3.2
2024/06/06 (15:36:21) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/21 (11:02:32) | ===> btop++ v.1.4.0
2024/10/21 (11:02:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (16:53:07) | ===> btop++ v.1.4.0
2024/11/12 (16:53:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (17:11:00) | ===> btop++ v.1.4.0
2024/11/12 (17:11:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (17:11:56) | ===> btop++ v.1.4.0
2024/11/12 (17:11:56) | WARNING: Intel GPU: Failed to initialize PMU
